tipo|sorteo|num1|num2|num3|num4|num5|power|fecha
revancha|2184|06|07|15|17|31|12|27 de Abril de 2022
baloto|2185|03|05|10|30|40|08|30 de Abril de 2022
revancha|2185|12|19|24|34|35|10|30 de Abril de 2022
baloto|2186|14|27|34|38|40|14|04 de Mayo de 2022
revancha|2186|03|10|11|19|41|15|04 de Mayo de 2022
baloto|2187|04|18|30|41|43|11|07 de Mayo de 2022
revancha|2187|02|06|11|19|22|16|07 de Mayo de 2022
baloto|2188|21|26|27|30|31|02|11 de Mayo de 2022
revancha|2188|05|11|22|23|24|15|11 de Mayo de 2022
baloto|2189|05|07|20|26|33|14|14 de Mayo de 2022
revancha|2189|04|12|14|28|38|10|14 de Mayo de 2022
baloto|2190|15|20|27|38|42|03|18 de Mayo de 2022
revancha|2190|22|23|28|32|38|05|18 de Mayo de 2022
baloto|2191|13|19|21|25|36|12|21 de Mayo de 2022
revancha|2191|23|26|27|31|42|04|21 de Mayo de 2022
baloto|2192|05|10|14|37|40|06|25 de Mayo de 2022
revancha|2192|01|08|21|28|36|05|25 de Mayo de 2022
baloto|2193|06|20|25|29|41|04|28 de Mayo de 2022
revancha|2193|06|29|33|40|42|12|28 de Mayo de 2022
baloto|2194|13|17|25|26|35|04|01 de Junio de 2022
revancha|2194|10|17|18|25|28|16|01 de Junio de 2022
baloto|2195|20|24|32|35|37|05|04 de Junio de 2022
revancha|2195|03|07|10|26|31|08|04 de Junio de 2022
baloto|2196|05|06|17|22|31|10|08 de Junio de 2022
revancha|2196|12|22|28|42|43|09|08 de Junio de 2022
baloto|2197|22|24|28|31|43|04|11 de Junio de 2022
revancha|2197|01|06|16|31|37|13|11 de Junio de 2022
baloto|2198|01|07|12|32|43|01|15 de Junio de 2022
revancha|2198|14|16|27|34|41|14|15 de Junio de 2022
baloto|2199|01|14|18|19|26|10|18 de Junio de 2022
revancha|2199|03|07|15|19|43|01|18 de Junio de 2022
baloto|2200|16|28|30|32|39|11|22 de Junio de 2022
revancha|2200|05|14|20|30|31|08|22 de Junio de 2022
baloto|2201|07|09|14|28|39|09|25 de Junio de 2022
revancha|2201|02|10|15|22|25|03|25 de Junio de 2022
baloto|2202|09|24|29|30|32|14|29 de Junio de 2022
revancha|2202|08|11|12|29|41|14|29 de Junio de 2022
baloto|2203|07|08|11|12|38|05|02 de Julio de 2022
revancha|2203|02|09|16|31|34|05|02 de Julio de 2022
baloto|2204|01|08|12|13|42|05|06 de Julio de 2022
revancha|2204|22|31|35|40|42|02|06 de Julio de 2022
baloto|2205|01|08|21|29|35|06|09 de Julio de 2022
revancha|2205|04|15|27|30|35|07|09 de Julio de 2022
baloto|2206|16|23|31|39|43|09|13 de Julio de 2022
revancha|2206|06|12|13|15|38|16|13 de Julio de 2022
baloto|2207|07|09|11|28|34|05|16 de Julio de 2022
revancha|2207|03|04|06|18|36|15|16 de Julio de 2022
baloto|2208|03|11|29|39|40|13|20 de Julio de 2022
revancha|2208|07|08|13|18|37|12|20 de Julio de 2022
baloto|2209|02|08|11|19|26|06|23 de Julio de 2022
revancha|2209|20|30|31|33|39|10|23 de Julio de 2022
baloto|2210|02|20|26|30|43|11|27 de Julio de 2022
revancha|2210|07|09|10|11|29|13|27 de Julio de 2022
baloto|2211|04|14|19|25|31|15|30 de Julio de 2022
revancha|2211|16|17|22|26|36|15|30 de Julio de 2022
baloto|2212|06|08|13|32|43|15|03 de Agosto de 2022
revancha|2212|06|28|33|34|38|12|03 de Agosto de 2022
baloto|2213|06|13|33|35|41|11|06 de Agosto de 2022
revancha|2213|04|08|17|39|40|14|06 de Agosto de 2022
baloto|2214|01|14|15|22|36|11|10 de Agosto de 2022
revancha|2214|13|14|15|33|40|16|10 de Agosto de 2022
baloto|2215|05|06|18|19|24|09|13 de Agosto de 2022
revancha|2215|01|08|10|22|25|04|13 de Agosto de 2022
baloto|2216|03|08|15|22|33|13|17 de Agosto de 2022
revancha|2216|03|07|20|31|35|07|17 de Agosto de 2022
baloto|2217|12|14|15|20|43|10|20 de Agosto de 2022
revancha|2217|01|06|34|37|39|04|20 de Agosto de 2022
baloto|2218|14|18|21|26|36|07|24 de Agosto de 2022
revancha|2218|02|06|24|32|40|05|24 de Agosto de 2022
baloto|2219|01|13|16|22|25|08|27 de Agosto de 2022
revancha|2219|01|26|27|35|43|11|27 de Agosto de 2022
baloto|2220|15|16|26|34|39|06|31 de Agosto de 2022
revancha|2220|04|12|17|19|42|14|31 de Agosto de 2022
baloto|2221|02|05|23|27|36|12|03 de Septiembre de 2022
revancha|2221|04|09|26|33|41|03|03 de Septiembre de 2022
baloto|2222|14|15|17|23|39|06|07 de Septiembre de 2022
revancha|2222|01|12|15|22|33|16|07 de Septiembre de 2022
baloto|2223|03|09|10|19|35|08|10 de Septiembre de 2022
revancha|2223|12|18|32|34|43|04|10 de Septiembre de 2022
baloto|2224|07|13|19|32|42|07|14 de Septiembre de 2022
revancha|2224|06|08|20|34|41|08|14 de Septiembre de 2022
baloto|2225|03|25|30|33|34|01|17 de Septiembre de 2022
revancha|2225|09|10|18|29|32|04|17 de Septiembre de 2022
baloto|2226|02|04|20|21|35|03|21 de Septiembre de 2022
revancha|2226|03|06|07|26|42|11|21 de Septiembre de 2022
baloto|2227|05|08|19|30|33|01|24 de Septiembre de 2022
revancha|2227|11|16|32|34|37|05|24 de Septiembre de 2022
baloto|2228|02|04|12|21|33|02|28 de Septiembre de 2022
revancha|2228|06|17|36|37|38|11|28 de Septiembre de 2022
baloto|2229|03|05|28|37|42|15|01 de Octubre de 2022
revancha|2229|03|05|15|22|42|02|01 de Octubre de 2022
baloto|2230|01|03|08|31|35|16|05 de Octubre de 2022
revancha|2230|05|16|23|34|43|16|05 de Octubre de 2022
baloto|2231|01|03|15|19|29|13|08 de Octubre de 2022
revancha|2231|10|17|31|36|41|14|08 de Octubre de 2022
baloto|2232|12|21|25|37|41|03|12 de Octubre de 2022
revancha|2232|12|24|33|34|36|03|12 de Octubre de 2022
baloto|2233|09|21|24|39|40|12|15 de Octubre de 2022
revancha|2233|03|14|35|36|37|08|15 de Octubre de 2022
baloto|2234|05|08|20|24|37|04|19 de Octubre de 2022
revancha|2234|01|07|20|36|39|14|19 de Octubre de 2022
baloto|2235|02|04|06|09|25|13|22 de Octubre de 2022
revancha|2235|02|05|14|30|36|12|22 de Octubre de 2022
baloto|2236|09|12|16|17|21|14|26 de Octubre de 2022
revancha|2236|18|32|33|40|41|10|26 de Octubre de 2022
baloto|2237|02|10|13|32|42|01|29 de Octubre de 2022
revancha|2237|05|09|11|20|30|04|29 de Octubre de 2022
baloto|2238|20|28|30|31|36|08|02 de Noviembre de 2022
revancha|2238|05|15|19|33|43|08|02 de Noviembre de 2022
baloto|2239|04|19|22|36|43|10|05 de Noviembre de 2022
revancha|2239|01|08|17|20|30|09|05 de Noviembre de 2022
baloto|2240|05|14|17|31|34|03|09 de Noviembre de 2022
revancha|2240|02|07|12|26|43|04|09 de Noviembre de 2022
baloto|2241|10|11|25|27|33|16|12 de Noviembre de 2022
revancha|2241|06|21|26|39|41|15|12 de Noviembre de 2022
baloto|2242|07|09|17|38|39|09|16 de Noviembre de 2022
revancha|2242|05|09|16|25|26|10|16 de Noviembre de 2022
baloto|2243|23|26|27|33|37|03|19 de Noviembre de 2022
revancha|2243|04|24|25|26|43|03|19 de Noviembre de 2022
baloto|2244|05|09|13|22|43|12|23 de Noviembre de 2022
revancha|2244|06|11|18|28|43|04|23 de Noviembre de 2022
baloto|2245|04|09|30|31|34|16|26 de Noviembre de 2022
revancha|2245|08|20|21|29|38|11|26 de Noviembre de 2022
baloto|2246|14|16|33|38|41|10|30 de Noviembre de 2022
revancha|2246|06|12|15|16|35|03|30 de Noviembre de 2022
baloto|2247|14|19|21|32|33|01|03 de Diciembre de 2022
revancha|2247|05|11|12|13|34|03|03 de Diciembre de 2022
